Theta   Phi   Ki
34.00   194.00   -0.0082137900
34.00   197.00   -0.0174252000
34.00   200.00   -0.0251373000
34.00   203.00   -0.0183769000
34.00   206.00   -0.0104083000
34.00   209.00   -0.0008246990
34.00   212.00   0.0041587300
34.00   215.00   0.0070144400
34.00   218.00   -0.0062741300
34.00   221.00   -0.0161757000
34.00   224.00   -0.0182597000
34.00   227.00   -0.0172025000
34.00   230.00   -0.0095163200
34.00   233.00   -0.0062992600
34.00   236.00   -0.0025577700
34.00   239.00   -0.0082214500
34.00   242.00   -0.0099415600
34.00   245.00   -0.0121246000
34.00   248.00   -0.0068201900
34.00   251.00   -0.0115595000
34.00   254.00   -0.0168649000
34.00   257.00   -0.0223044000
34.00   260.00   -0.0149376000
34.00   263.00   -0.0105694000
34.00   266.00   -0.0028858200
34.00   269.00   0.0020450500
34.00   272.00   0.0085370500
34.00   275.00   0.0178198000
34.00   278.00   0.0187982000
34.00   281.00   0.0152111000
34.00   284.00   0.0107209000
37.00   47.00   0.0282381000
37.00   50.00   0.0362077000
37.00   53.00   0.0395817000
37.00   56.00   0.0409389000
37.00   59.00   0.0371933000
37.00   62.00   0.0391778000
37.00   65.00   0.0221193000
37.00   68.00   0.0064358100
37.00   71.00   -0.0125561000
37.00   74.00   -0.0151385000
37.00   77.00   -0.0293319000
37.00   80.00   -0.0346455000
37.00   83.00   -0.0202946000
37.00   86.00   -0.0103813000
37.00   89.00   -0.0042329200
37.00   92.00   -0.0072947900
37.00   95.00   -0.0156797000
37.00   98.00   -0.0256046000
37.00   101.00   -0.0318694000
37.00   104.00   -0.0207013000
37.00   107.00   -0.0063994900
37.00   110.00   -0.0025025300
37.00   113.00   0.0148961000
37.00   116.00   0.0140263000
37.00   119.00   0.0154568000
37.00   122.00   0.0137312000
37.00   125.00   0.0093879800
37.00   128.00   -0.0103414000
37.00   131.00   -0.0157292000
37.00   134.00   -0.0281572000
37.00   137.00   -0.0321224000
37.00   140.00   -0.0280144000
37.00   143.00   -0.0179461000
37.00   146.00   -0.0013939700
37.00   149.00   0.0017641400
37.00   152.00   0.0131134000
37.00   155.00   0.0054641800
37.00   158.00   0.0027407600
37.00   161.00   0.0141699000
37.00   164.00   0.0233586000
37.00   167.00   0.0282382000
37.00   170.00   0.0362077000
37.00   173.00   0.0395819000
37.00   176.00   0.0409390000
37.00   179.00   0.0371933000
37.00   182.00   0.0391776000
37.00   185.00   0.0221194000
37.00   188.00   0.0064361600
37.00   191.00   -0.0125562000
37.00   194.00   -0.0151384000
37.00   197.00   -0.0293317000
37.00   200.00   -0.0346455000
37.00   203.00   -0.0202946000
37.00   206.00   -0.0103812000
37.00   209.00   -0.0042329400
